"sim","method","n.dims","fn","fp"
7,"CCA-LDA",37,0,0
7,"CCA-LDA",38,0,0
7,"CCA-LDA",39,0,0
7,"PCA-LDA",2,6,9
7,"PCA-LDA",3,4,6
7,"PCA-LDA",4,3,5
7,"PCA-LDA",5,3,3
7,"PCA-LDA",6,4,1
7,"PCA-LDA",7,4,1
7,"PCA-LDA",8,4,1
7,"PCA-LDA",9,4,1
7,"PCA-LDA",10,2,2
7,"PCA-LDA",11,2,2
7,"PCA-LDA",12,2,2
7,"PCA-LDA",13,2,1
7,"PCA-LDA",14,2,1
7,"PCA-LDA",15,2,0
7,"PCA-LDA",16,2,0
7,"PCA-LDA",17,2,0
7,"PCA-LDA",18,0,0
7,"PCA-LDA",19,0,0
7,"PCA-LDA",20,0,0
7,"PCA-LDA",21,0,0
7,"PCA-LDA",22,0,0
7,"PCA-LDA",23,0,0
7,"PCA-LDA",24,0,0
7,"PCA-LDA",25,0,0
7,"PCA-LDA",26,0,0
7,"PCA-LDA",27,0,0
7,"PCA-LDA",28,0,0
7,"PCA-LDA",29,0,0
7,"PCA-LDA",30,0,0
7,"PCA-LDA",31,0,0
7,"PCA-LDA",32,0,0
7,"PCA-LDA",33,0,0
7,"PCA-LDA",34,0,0
7,"PCA-LDA",35,0,0
7,"PCA-LDA",36,0,0
7,"PCA-LDA",37,0,0
7,"PCA-LDA",38,0,0
7,"PCA-LDA",39,0,0
8,"CCA-LDA",2,5,13
8,"CCA-LDA",3,5,13
8,"CCA-LDA",4,5,9
8,"CCA-LDA",5,4,8
8,"CCA-LDA",6,4,1
8,"CCA-LDA",7,2,3
8,"CCA-LDA",8,2,4
8,"CCA-LDA",9,2,2
8,"CCA-LDA",10,2,2
8,"CCA-LDA",11,1,0
8,"CCA-LDA",12,1,0
8,"CCA-LDA",13,1,0
8,"CCA-LDA",14,1,0
8,"CCA-LDA",15,0,0
8,"CCA-LDA",16,0,0
8,"CCA-LDA",17,0,0
8,"CCA-LDA",18,0,0
8,"CCA-LDA",19,0,0
8,"CCA-LDA",20,0,0
8,"CCA-LDA",21,0,0
8,"CCA-LDA",22,0,0
8,"CCA-LDA",23,0,0
8,"CCA-LDA",24,0,0
8,"CCA-LDA",25,0,0
8,"CCA-LDA",26,0,0
8,"CCA-LDA",27,0,0
8,"CCA-LDA",28,0,0
8,"CCA-LDA",29,0,0
8,"CCA-LDA",30,0,0
8,"CCA-LDA",31,0,0
8,"CCA-LDA",32,0,0
8,"CCA-LDA",33,0,0
8,"CCA-LDA",34,0,0
8,"CCA-LDA",35,0,0
8,"CCA-LDA",36,0,0
8,"CCA-LDA",37,0,0
8,"CCA-LDA",38,0,0
8,"CCA-LDA",39,0,0
8,"PCA-LDA",2,6,8
8,"PCA-LDA",3,7,6
8,"PCA-LDA",4,6,5
8,"PCA-LDA",5,6,5
8,"PCA-LDA",6,5,3
8,"PCA-LDA",7,5,5
8,"PCA-LDA",8,4,5
8,"PCA-LDA",9,4,3
8,"PCA-LDA",10,5,2
8,"PCA-LDA",11,5,2
8,"PCA-LDA",12,4,2
8,"PCA-LDA",13,3,2
8,"PCA-LDA",14,3,2
8,"PCA-LDA",15,3,2
8,"PCA-LDA",16,2,1
8,"PCA-LDA",17,2,2
8,"PCA-LDA",18,1,2
8,"PCA-LDA",19,1,1
8,"PCA-LDA",20,1,1
8,"PCA-LDA",21,1,1
8,"PCA-LDA",22,0,0
8,"PCA-LDA",23,0,0
8,"PCA-LDA",24,0,0
8,"PCA-LDA",25,0,0
8,"PCA-LDA",26,0,0
8,"PCA-LDA",27,0,0
8,"PCA-LDA",28,0,0
8,"PCA-LDA",29,0,0
8,"PCA-LDA",30,0,0
8,"PCA-LDA",31,0,0
8,"PCA-LDA",32,0,0
8,"PCA-LDA",33,0,0
8,"PCA-LDA",34,0,0
8,"PCA-LDA",35,0,0
8,"PCA-LDA",36,0,0
8,"PCA-LDA",37,0,0
8,"PCA-LDA",38,0,0
8,"PCA-LDA",39,0,0
9,"CCA-LDA",2,4,8
9,"CCA-LDA",3,4,7
9,"CCA-LDA",4,2,8
9,"CCA-LDA",5,2,7
9,"CCA-LDA",6,1,5
9,"CCA-LDA",7,1,5
9,"CCA-LDA",8,1,5
9,"CCA-LDA",9,1,1
9,"CCA-LDA",10,1,1
9,"CCA-LDA",11,1,0
9,"CCA-LDA",12,0,1
