"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",12,9,6,12
"CCA-LDA",12,10,14,10
"CCA-LDA",12,11,12,12
"CCA-LDA",12,12,11,11
"CCA-LDA",12,13,8,10
"CCA-LDA",12,14,13,9
"CCA-LDA",12,15,12,9
"CCA-LDA",12,16,11,8
"CCA-LDA",12,17,8,10
"CCA-LDA",12,18,11,11
"CCA-LDA",12,19,11,9
"CCA-LDA",12,20,11,11
"CCA-LDA",12,21,13,11
"CCA-LDA",12,22,12,11
"CCA-LDA",12,23,10,10
"CCA-LDA",12,24,11,9
"CCA-LDA",12,25,13,9
"CCA-LDA",12,26,10,12
"CCA-LDA",12,27,11,13
"CCA-LDA",12,28,12,12
"CCA-LDA",12,29,10,11
"CCA-LDA",12,30,9,11
"CCA-LDA",12,31,8,11
"CCA-LDA",12,32,8,12
"CCA-LDA",12,33,9,12
"CCA-LDA",12,34,9,10
"CCA-LDA",12,35,8,9
"CCA-LDA",12,36,10,11
"CCA-LDA",12,37,7,9
"CCA-LDA",12,38,9,14
"CCA-LDA",12,39,9,11
"CCA-LDA",12,40,8,10
"CCA-LDA",12,41,8,11
"CCA-LDA",12,42,6,9
"CCA-LDA",12,43,9,13
"CCA-LDA",13,1,10,8
"CCA-LDA",13,2,10,8
"CCA-LDA",13,3,8,7
"CCA-LDA",13,4,10,8
"CCA-LDA",13,5,9,7
"CCA-LDA",13,6,9,9
"CCA-LDA",13,7,11,11
"CCA-LDA",13,8,7,10
"CCA-LDA",13,9,7,13
"CCA-LDA",13,10,13,10
"CCA-LDA",13,11,12,10
"CCA-LDA",13,12,10,10
"CCA-LDA",13,13,7,12
"CCA-LDA",13,14,12,8
"CCA-LDA",13,15,10,9
"CCA-LDA",13,16,12,10
"CCA-LDA",13,17,7,10
"CCA-LDA",13,18,9,10
"CCA-LDA",13,19,10,9
"CCA-LDA",13,20,11,11
"CCA-LDA",13,21,11,12
"CCA-LDA",13,22,11,11
"CCA-LDA",13,23,11,10
"CCA-LDA",13,24,12,11
"CCA-LDA",13,25,11,11
"CCA-LDA",13,26,11,10
"CCA-LDA",13,27,11,12
"CCA-LDA",13,28,12,11
"CCA-LDA",13,29,9,11
"CCA-LDA",13,30,8,12
"CCA-LDA",13,31,8,12
"CCA-LDA",13,32,8,12
"CCA-LDA",13,33,7,12
"CCA-LDA",13,34,9,11
"CCA-LDA",13,35,8,10
"CCA-LDA",13,36,8,12
"CCA-LDA",13,37,5,11
"CCA-LDA",13,38,7,13
"CCA-LDA",13,39,8,11
"CCA-LDA",13,40,8,11
"CCA-LDA",13,41,9,11
"CCA-LDA",13,42,7,9
"CCA-LDA",13,43,7,12
"CCA-LDA",14,1,11,8
"CCA-LDA",14,2,10,8
"CCA-LDA",14,3,11,7
"CCA-LDA",14,4,10,9
"CCA-LDA",14,5,9,7
"CCA-LDA",14,6,8,10
"CCA-LDA",14,7,10,11
"CCA-LDA",14,8,5,9
"CCA-LDA",14,9,6,10
"CCA-LDA",14,10,13,11
"CCA-LDA",14,11,12,11
"CCA-LDA",14,12,12,10
"CCA-LDA",14,13,7,11
"CCA-LDA",14,14,11,9
"CCA-LDA",14,15,8,9
"CCA-LDA",14,16,9,10
"CCA-LDA",14,17,7,10
"CCA-LDA",14,18,9,9
"CCA-LDA",14,19,9,9
"CCA-LDA",14,20,11,10
"CCA-LDA",14,21,10,11
"CCA-LDA",14,22,10,10
"CCA-LDA",14,23,10,10
"CCA-LDA",14,24,11,9
"CCA-LDA",14,25,11,10
"CCA-LDA",14,26,11,10
"CCA-LDA",14,27,11,10
"CCA-LDA",14,28,12,13
"CCA-LDA",14,29,9,10
"CCA-LDA",14,30,8,14
"CCA-LDA",14,31,8,11
"CCA-LDA",14,32,8,12
"CCA-LDA",14,33,7,12
"CCA-LDA",14,34,8,11
"CCA-LDA",14,35,6,12
"CCA-LDA",14,36,7,11
"CCA-LDA",14,37,6,11
"CCA-LDA",14,38,7,14
"CCA-LDA",14,39,7,11
"CCA-LDA",14,40,9,12
"CCA-LDA",14,41,8,10
"CCA-LDA",14,42,9,8
"CCA-LDA",14,43,7,14
"CCA-LDA",15,1,11,8
"CCA-LDA",15,2,10,8
"CCA-LDA",15,3,12,8
"CCA-LDA",15,4,12,9
"CCA-LDA",15,5,11,8
"CCA-LDA",15,6,8,10
"CCA-LDA",15,7,10,14
"CCA-LDA",15,8,5,11
"CCA-LDA",15,9,7,11
"CCA-LDA",15,10,12,11
"CCA-LDA",15,11,12,10
"CCA-LDA",15,12,12,8
"CCA-LDA",15,13,7,11
"CCA-LDA",15,14,10,10
"CCA-LDA",15,15,8,11
"CCA-LDA",15,16,9,10
"CCA-LDA",15,17,6,8
"CCA-LDA",15,18,9,8
"CCA-LDA",15,19,11,10
"CCA-LDA",15,20,10,8
"CCA-LDA",15,21,11,10
"CCA-LDA",15,22,9,11
"CCA-LDA",15,23,10,8
"CCA-LDA",15,24,10,11
"CCA-LDA",15,25,11,11
"CCA-LDA",15,26,10,10
"CCA-LDA",15,27,10,10
"CCA-LDA",15,28,12,15
"CCA-LDA",15,29,9,9
"CCA-LDA",15,30,7,15
"CCA-LDA",15,31,7,12
"CCA-LDA",15,32,8,11
"CCA-LDA",15,33,8,11
"CCA-LDA",15,34,8,12
"CCA-LDA",15,35,7,13
"CCA-LDA",15,36,8,13
"CCA-LDA",15,37,6,11
"CCA-LDA",15,38,7,14
"CCA-LDA",15,39,7,14
"CCA-LDA",15,40,8,11
"CCA-LDA",15,41,8,14
"CCA-LDA",15,42,9,9
"CCA-LDA",15,43,7,14
"CCA-LDA",16,1,11,9
"CCA-LDA",16,2,9,7
"CCA-LDA",16,3,11,9
"CCA-LDA",16,4,11,11
"CCA-LDA",16,5,9,8
"CCA-LDA",16,6,9,10
"CCA-LDA",16,7,10,14
"CCA-LDA",16,8,6,12
"CCA-LDA",16,9,6,11
"CCA-LDA",16,10,12,10
"CCA-LDA",16,11,12,11
"CCA-LDA",16,12,12,11
"CCA-LDA",16,13,7,10
"CCA-LDA",16,14,9,7
"CCA-LDA",16,15,8,11
"CCA-LDA",16,16,9,9
"CCA-LDA",16,17,7,10
"CCA-LDA",16,18,9,10
"CCA-LDA",16,19,9,9
"CCA-LDA",16,20,9,10
"CCA-LDA",16,21,10,11
"CCA-LDA",16,22,10,12
"CCA-LDA",16,23,10,10
"CCA-LDA",16,24,10,11
"CCA-LDA",16,25,11,11
"CCA-LDA",16,26,12,12
"CCA-LDA",16,27,10,13
"CCA-LDA",16,28,12,15
"CCA-LDA",16,29,8,9
"CCA-LDA",16,30,8,14
"CCA-LDA",16,31,6,13
"CCA-LDA",16,32,8,12
"CCA-LDA",16,33,8,11
"CCA-LDA",16,34,9,14
"CCA-LDA",16,35,7,12
"CCA-LDA",16,36,8,11
"CCA-LDA",16,37,6,10
"CCA-LDA",16,38,7,14
"CCA-LDA",16,39,6,12
"CCA-LDA",16,40,7,11
"CCA-LDA",16,41,10,14
"CCA-LDA",16,42,8,11
"CCA-LDA",16,43,7,13
"CCA-LDA",17,1,10,10
"CCA-LDA",17,2,8,7
"CCA-LDA",17,3,11,10
"CCA-LDA",17,4,10,10
"CCA-LDA",17,5,10,9
"CCA-LDA",17,6,10,11
"CCA-LDA",17,7,9,14
"CCA-LDA",17,8,6,11
"CCA-LDA",17,9,7,13
"CCA-LDA",17,10,11,10
"CCA-LDA",17,11,11,12
"CCA-LDA",17,12,10,9
"CCA-LDA",17,13,8,8
"CCA-LDA",17,14,9,8
"CCA-LDA",17,15,8,9
"CCA-LDA",17,16,8,10
"CCA-LDA",17,17,7,9
"CCA-LDA",17,18,8,11
"CCA-LDA",17,19,10,12
"CCA-LDA",17,20,10,7
"CCA-LDA",17,21,11,10
"CCA-LDA",17,22,10,8
"CCA-LDA",17,23,10,10
"CCA-LDA",17,24,10,10
"CCA-LDA",17,25,10,11
"CCA-LDA",17,26,11,11
"CCA-LDA",17,27,10,14
"CCA-LDA",17,28,11,16
"CCA-LDA",17,29,8,12
"CCA-LDA",17,30,9,13
"CCA-LDA",17,31,8,12
"CCA-LDA",17,32,8,11
"CCA-LDA",17,33,9,12
"CCA-LDA",17,34,8,11
"CCA-LDA",17,35,8,11
"CCA-LDA",17,36,10,11
"CCA-LDA",17,37,7,11
"CCA-LDA",17,38,9,14
"CCA-LDA",17,39,7,10
"CCA-LDA",17,40,8,9
"CCA-LDA",17,41,9,12
"CCA-LDA",17,42,8,12
"CCA-LDA",17,43,8,13
"CCA-LDA",18,1,10,10
"CCA-LDA",18,2,8,7
"CCA-LDA",18,3,9,11
"CCA-LDA",18,4,10,12
"CCA-LDA",18,5,10,9
"CCA-LDA",18,6,10,10
"CCA-LDA",18,7,9,14
"CCA-LDA",18,8,6,9
"CCA-LDA",18,9,6,10
"CCA-LDA",18,10,10,11
"CCA-LDA",18,11,10,12
"CCA-LDA",18,12,8,10
"CCA-LDA",18,13,9,10
"CCA-LDA",18,14,9,8
"CCA-LDA",18,15,8,9
"CCA-LDA",18,16,9,11
"CCA-LDA",18,17,7,9
"CCA-LDA",18,18,10,11
"CCA-LDA",18,19,9,10
"CCA-LDA",18,20,11,10
"CCA-LDA",18,21,9,9
"CCA-LDA",18,22,9,11
"CCA-LDA",18,23,9,11
"CCA-LDA",18,24,10,9
"CCA-LDA",18,25,9,7
"CCA-LDA",18,26,11,10
"CCA-LDA",18,27,10,15
"CCA-LDA",18,28,10,14
"CCA-LDA",18,29,8,11
"CCA-LDA",18,30,9,12
"CCA-LDA",18,31,10,13
"CCA-LDA",18,32,8,13
"CCA-LDA",18,33,9,9
"CCA-LDA",18,34,8,11
"CCA-LDA",18,35,7,10
"CCA-LDA",18,36,9,10
"CCA-LDA",18,37,9,11
"CCA-LDA",18,38,8,13
"CCA-LDA",18,39,8,11
"CCA-LDA",18,40,5,10
"CCA-LDA",18,41,8,14
"CCA-LDA",18,42,8,12
"CCA-LDA",18,43,8,14
"CCA-LDA",19,1,10,12
"CCA-LDA",19,2,9,7
"CCA-LDA",19,3,9,11
"CCA-LDA",19,4,10,10
"CCA-LDA",19,5,10,12
"CCA-LDA",19,6,10,11
"CCA-LDA",19,7,9,14
"CCA-LDA",19,8,7,9
"CCA-LDA",19,9,8,12
"CCA-LDA",19,10,7,10
"CCA-LDA",19,11,8,10
"CCA-LDA",19,12,9,10
"CCA-LDA",19,13,9,10
"CCA-LDA",19,14,9,8
"CCA-LDA",19,15,8,11
"CCA-LDA",19,16,7,12
"CCA-LDA",19,17,8,9
"CCA-LDA",19,18,10,11
"CCA-LDA",19,19,7,11
"CCA-LDA",19,20,10,10
"CCA-LDA",19,21,11,11
"CCA-LDA",19,22,11,10
"CCA-LDA",19,23,10,11
"CCA-LDA",19,24,11,10
"CCA-LDA",19,25,10,9
"CCA-LDA",19,26,11,12
"CCA-LDA",19,27,10,15
"CCA-LDA",19,28,10,12
"CCA-LDA",19,29,9,11
"CCA-LDA",19,30,8,11
"CCA-LDA",19,31,9,12
"CCA-LDA",19,32,7,14
"CCA-LDA",19,33,8,13
"CCA-LDA",19,34,7,10
"CCA-LDA",19,35,7,12
"CCA-LDA",19,36,9,12
"CCA-LDA",19,37,9,14
"CCA-LDA",19,38,9,13
"CCA-LDA",19,39,9,13
"CCA-LDA",19,40,6,12
"CCA-LDA",19,41,9,12
"CCA-LDA",19,42,8,13
"CCA-LDA",19,43,7,14
"CCA-LDA",20,1,11,12
"CCA-LDA",20,2,10,7
"CCA-LDA",20,3,8,13
"CCA-LDA",20,4,9,11
