"sim","method","n.dims","err","n.dims.min","n.dims.max","CV","Pi"
151,"PCA-LDA",23,0,NA,NA,1,2
152,"CCA-LDA",32,0,NA,NA,1,2
152,"PCA-LDA",31,1,NA,NA,1,2
153,"CCA-LDA",38,2,NA,NA,1,2
153,"PCA-LDA",31,0,NA,NA,1,2
154,"CCA-LDA",15,1,NA,NA,1,2
154,"PCA-LDA",27,0,NA,NA,1,2
155,"CCA-LDA",30,0,NA,NA,1,2
155,"PCA-LDA",32,0,NA,NA,1,2
156,"CCA-LDA",32,0,NA,NA,1,2
156,"PCA-LDA",22,0,NA,NA,1,2
157,"CCA-LDA",39,2,NA,NA,1,2
157,"PCA-LDA",22,1,NA,NA,1,2
158,"CCA-LDA",26,0,NA,NA,1,2
158,"PCA-LDA",28,0,NA,NA,1,2
159,"CCA-LDA",14,0,NA,NA,1,2
159,"PCA-LDA",29,0,NA,NA,1,2
16,"CCA-LDA",16,0,NA,NA,1,2
16,"PCA-LDA",27,0,NA,NA,1,2
160,"CCA-LDA",29,0,NA,NA,1,2
160,"PCA-LDA",36,0,NA,NA,1,2
161,"CCA-LDA",14,0,NA,NA,1,2
161,"PCA-LDA",36,2,NA,NA,1,2
162,"CCA-LDA",38,1,NA,NA,1,2
162,"PCA-LDA",37,1,NA,NA,1,2
163,"CCA-LDA",29,1,NA,NA,1,2
163,"PCA-LDA",22,2,NA,NA,1,2
164,"CCA-LDA",34,0,NA,NA,1,2
164,"PCA-LDA",36,0,NA,NA,1,2
165,"CCA-LDA",14,1,NA,NA,1,2
165,"PCA-LDA",33,0,NA,NA,1,2
166,"CCA-LDA",24,0,NA,NA,1,2
166,"PCA-LDA",29,0,NA,NA,1,2
167,"CCA-LDA",25,0,NA,NA,1,2
167,"PCA-LDA",33,1,NA,NA,1,2
168,"CCA-LDA",15,0,NA,NA,1,2
168,"PCA-LDA",29,0,NA,NA,1,2
