"sim","method","n.dims","fn","fp"
2,"PCA-LDA",28,0.0827195627519156,0.0265434139990018
2,"PCA-LDA",29,0.0468182146773963,0.0257586100934074
2,"PCA-LDA",30,0.0481908204857451,0.0280523024063832
2,"PCA-LDA",31,0.0509236743328812,0.00667913825655106
2,"PCA-LDA",32,0.0541090272179928,0.000971462992196496
2,"PCA-LDA",33,0.0578203123252311,1.62443920844811e-05
2,"PCA-LDA",34,0.0521630119678038,0.00124170413233298
2,"PCA-LDA",35,0.0651231736749968,4.61654514886991e-05
2,"PCA-LDA",36,0.0698335017752953,4.08946664349941e-06
2,"PCA-LDA",37,0.0289911200930574,8.17602188226393e-06
2,"PCA-LDA",38,1.95987179549012e-06,4.04138954392559e-08
2,"PCA-LDA",39,2.03284510493188e-06,5.81134766435973e-109
3,"CCA-LDA",2,0.157704328746528,0.249133746475906
3,"CCA-LDA",3,0.0992023987953199,0.211735520041189
3,"CCA-LDA",4,0.165628403171688,0.142800997061062
3,"CCA-LDA",5,0.171013105458675,0.133653987117223
3,"CCA-LDA",6,0.172481697283194,0.130565350989498
3,"CCA-LDA",7,0.154424317082014,0.0647608603928549
3,"CCA-LDA",8,0.14373058479944,0.0501850644566373
3,"CCA-LDA",9,0.143996473041397,0.0487567223987577
3,"CCA-LDA",10,0.138232517907665,0.052312128045367
3,"CCA-LDA",11,0.129935480516797,0.0682336064080817
3,"CCA-LDA",12,0.130314678961541,0.0683304935340454
3,"CCA-LDA",13,0.11745006575239,0.0483558412967345
3,"CCA-LDA",14,0.0970926124649094,0.0494974085681648
3,"CCA-LDA",15,0.0813872335599003,0.00898565207606043
3,"CCA-LDA",16,0.0845736737487873,0.00881342478852403
3,"CCA-LDA",17,0.0883562420111462,0.0101273980133922
3,"CCA-LDA",18,0.0612457869817056,0.00828651708343198
3,"CCA-LDA",19,0.0547015408089564,0.00611586226950319
3,"CCA-LDA",20,0.0527916587989063,0.005225528521354
3,"CCA-LDA",21,0.0525768298654328,0.00525981593967217
3,"CCA-LDA",22,0.0522526230575397,0.00665565286697806
3,"CCA-LDA",23,0.0423337122267223,0.00842665914642103
3,"CCA-LDA",24,0.0347931481028365,0.00826064494288299
3,"CCA-LDA",25,0.0336155019687015,0.00798376115105562
3,"CCA-LDA",26,0.0354043377911051,0.00589875307477044
3,"CCA-LDA",27,0.0170720433221425,0.00251089783732389
3,"CCA-LDA",28,0.0149417461191883,0.00202518864241082
3,"CCA-LDA",29,0.0125849944717682,0.00340174250341831
3,"CCA-LDA",30,0.00684722311888457,0.0086372796773108
3,"CCA-LDA",31,0.00433810880227877,0.0119823398528862
3,"CCA-LDA",32,0.00190241633722692,0.00657725999393651
3,"CCA-LDA",33,0.00211947042554626,0.00945356798636669
3,"CCA-LDA",34,0.000498987744052967,0.00984789736287513
3,"CCA-LDA",35,0.000536239005417325,0.00980873599647253
3,"CCA-LDA",36,1.49584336122014e-05,0.00153262869305391
3,"CCA-LDA",37,6.29405620551662e-07,0.000535799214947502
3,"CCA-LDA",38,1.05352561951006e-41,0.0782715589007126
3,"CCA-LDA",39,1.35780741438479e-56,0.00603785317754845
3,"PCA-LDA",2,0.232197236511403,0.238718605889991
3,"PCA-LDA",3,0.243183773400052,0.218446801172515
3,"PCA-LDA",4,0.152567111833829,0.234742055644803
3,"PCA-LDA",5,0.133427607935384,0.252050776145005
3,"PCA-LDA",6,0.135677856660632,0.159261520965962
3,"PCA-LDA",7,0.134239895100615,0.16069238012591
3,"PCA-LDA",8,0.121642553741795,0.153078133353442
3,"PCA-LDA",9,0.105879535171577,0.154983880700254
3,"PCA-LDA",10,0.105403874526021,0.151277999329138
3,"PCA-LDA",11,0.0985134168608292,0.156903604712581
3,"PCA-LDA",12,0.100145789899225,0.163697950420446
3,"PCA-LDA",13,0.0962979263795094,0.149871920984654
3,"PCA-LDA",14,0.107393473626624,0.126475510388064
3,"PCA-LDA",15,0.110162404535608,0.101591889301668
3,"PCA-LDA",16,0.113040230796435,0.0965875911960415
3,"PCA-LDA",17,0.111093107431254,0.0918381770185818
3,"PCA-LDA",18,0.120883570837962,0.0698133101542738
3,"PCA-LDA",19,0.0885366592198736,0.082752546430546
3,"PCA-LDA",20,0.0658519983575214,0.077981564774317
3,"PCA-LDA",21,0.0612742826150535,0.0768972586600187
