"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",11,38,3,3
"CCA-LDA",11,39,1,3
"CCA-LDA",11,40,3,7
"CCA-LDA",11,41,3,6
"CCA-LDA",11,42,2,2
"CCA-LDA",11,43,3,6
"CCA-LDA",12,1,3,6
"CCA-LDA",12,2,3,5
"CCA-LDA",12,3,2,8
"CCA-LDA",12,4,3,4
"CCA-LDA",12,5,2,5
"CCA-LDA",12,6,2,5
"CCA-LDA",12,7,1,2
"CCA-LDA",12,8,2,5
"CCA-LDA",12,9,3,4
"CCA-LDA",12,10,4,5
"CCA-LDA",12,11,2,4
"CCA-LDA",12,12,3,6
"CCA-LDA",12,13,2,3
"CCA-LDA",12,14,2,4
"CCA-LDA",12,15,2,3
"CCA-LDA",12,16,3,6
"CCA-LDA",12,17,2,6
"CCA-LDA",12,18,3,11
"CCA-LDA",12,19,2,6
"CCA-LDA",12,20,2,4
"CCA-LDA",12,21,4,3
"CCA-LDA",12,22,3,3
"CCA-LDA",12,23,3,5
"CCA-LDA",12,24,1,5
"CCA-LDA",12,25,2,7
"CCA-LDA",12,26,2,3
"CCA-LDA",12,27,2,5
"CCA-LDA",12,28,3,6
"CCA-LDA",12,29,2,5
"CCA-LDA",12,30,1,6
"CCA-LDA",12,31,2,5
"CCA-LDA",12,32,4,7
"CCA-LDA",12,33,3,3
"CCA-LDA",12,34,2,4
"CCA-LDA",12,35,2,5
"CCA-LDA",12,36,1,4
"CCA-LDA",12,37,2,5
"CCA-LDA",12,38,2,6
"CCA-LDA",12,39,1,3
"CCA-LDA",12,40,3,5
"CCA-LDA",12,41,2,6
"CCA-LDA",12,42,2,2
"CCA-LDA",12,43,3,5
"CCA-LDA",13,1,2,6
"CCA-LDA",13,2,3,5
"CCA-LDA",13,3,3,7
"CCA-LDA",13,4,3,4
"CCA-LDA",13,5,2,5
"CCA-LDA",13,6,2,4
"CCA-LDA",13,7,1,2
"CCA-LDA",13,8,2,5
"CCA-LDA",13,9,2,6
"CCA-LDA",13,10,2,3
"CCA-LDA",13,11,2,4
"CCA-LDA",13,12,2,5
"CCA-LDA",13,13,2,2
"CCA-LDA",13,14,2,3
"CCA-LDA",13,15,2,2
"CCA-LDA",13,16,3,5
"CCA-LDA",13,17,2,6
"CCA-LDA",13,18,2,4
"CCA-LDA",13,19,2,2
"CCA-LDA",13,20,2,4
"CCA-LDA",13,21,4,3
"CCA-LDA",13,22,3,3
"CCA-LDA",13,23,3,4
"CCA-LDA",13,24,1,4
"CCA-LDA",13,25,2,5
"CCA-LDA",13,26,2,3
"CCA-LDA",13,27,2,5
"CCA-LDA",13,28,2,5
"CCA-LDA",13,29,3,6
"CCA-LDA",13,30,0,6
"CCA-LDA",13,31,3,5
"CCA-LDA",13,32,2,6
"CCA-LDA",13,33,3,3
"CCA-LDA",13,34,2,7
"CCA-LDA",13,35,3,5
"CCA-LDA",13,36,2,5
"CCA-LDA",13,37,2,4
"CCA-LDA",13,38,2,4
"CCA-LDA",13,39,2,3
"CCA-LDA",13,40,4,6
"CCA-LDA",13,41,2,6
"CCA-LDA",13,42,2,2
"CCA-LDA",13,43,2,6
"CCA-LDA",14,1,3,5
"CCA-LDA",14,2,3,5
"CCA-LDA",14,3,2,7
"CCA-LDA",14,4,3,5
"CCA-LDA",14,5,2,4
"CCA-LDA",14,6,2,5
"CCA-LDA",14,7,0,3
"CCA-LDA",14,8,2,3
"CCA-LDA",14,9,2,6
"CCA-LDA",14,10,2,6
"CCA-LDA",14,11,1,3
"CCA-LDA",14,12,2,4
"CCA-LDA",14,13,2,3
"CCA-LDA",14,14,2,3
"CCA-LDA",14,15,2,2
"CCA-LDA",14,16,4,6
"CCA-LDA",14,17,2,6
"CCA-LDA",14,18,3,6
"CCA-LDA",14,19,2,3
"CCA-LDA",14,20,2,5
"CCA-LDA",14,21,4,3
"CCA-LDA",14,22,3,3
"CCA-LDA",14,23,3,3
"CCA-LDA",14,24,2,4
"CCA-LDA",14,25,3,6
"CCA-LDA",14,26,2,3
"CCA-LDA",14,27,1,2
"CCA-LDA",14,28,2,2
"CCA-LDA",14,29,3,7
"CCA-LDA",14,30,0,6
"CCA-LDA",14,31,3,5
"CCA-LDA",14,32,2,5
"CCA-LDA",14,33,3,3
"CCA-LDA",14,34,3,4
"CCA-LDA",14,35,3,5
"CCA-LDA",14,36,1,2
"CCA-LDA",14,37,2,3
"CCA-LDA",14,38,2,4
"CCA-LDA",14,39,1,3
"CCA-LDA",14,40,4,6
"CCA-LDA",14,41,3,3
"CCA-LDA",14,42,2,2
"CCA-LDA",14,43,2,6
"CCA-LDA",15,1,2,5
"CCA-LDA",15,2,2,4
"CCA-LDA",15,3,3,7
"CCA-LDA",15,4,4,4
"CCA-LDA",15,5,2,4
"CCA-LDA",15,6,2,4
"CCA-LDA",15,7,0,3
"CCA-LDA",15,8,3,4
"CCA-LDA",15,9,2,5
"CCA-LDA",15,10,2,4
"CCA-LDA",15,11,1,3
"CCA-LDA",15,12,1,1
"CCA-LDA",15,13,1,3
"CCA-LDA",15,14,2,3
"CCA-LDA",15,15,2,3
"CCA-LDA",15,16,4,4
"CCA-LDA",15,17,1,3
"CCA-LDA",15,18,4,5
"CCA-LDA",15,19,2,2
"CCA-LDA",15,20,2,5
"CCA-LDA",15,21,4,3
"CCA-LDA",15,22,3,3
"CCA-LDA",15,23,3,3
"CCA-LDA",15,24,2,4
"CCA-LDA",15,25,3,3
"CCA-LDA",15,26,2,3
"CCA-LDA",15,27,1,2
"CCA-LDA",15,28,3,3
"CCA-LDA",15,29,2,5
"CCA-LDA",15,30,0,3
"CCA-LDA",15,31,2,4
"CCA-LDA",15,32,1,5
"CCA-LDA",15,33,3,3
"CCA-LDA",15,34,3,4
"CCA-LDA",15,35,2,4
"CCA-LDA",15,36,1,2
"CCA-LDA",15,37,2,3
"CCA-LDA",15,38,2,4
"CCA-LDA",15,39,2,3
"CCA-LDA",15,40,4,5
"CCA-LDA",15,41,1,5
"CCA-LDA",15,42,2,2
"CCA-LDA",15,43,2,5
"CCA-LDA",16,1,2,5
"CCA-LDA",16,2,2,3
"CCA-LDA",16,3,3,7
"CCA-LDA",16,4,2,3
"CCA-LDA",16,5,1,5
"CCA-LDA",16,6,2,3
"CCA-LDA",16,7,0,3
"CCA-LDA",16,8,2,3
"CCA-LDA",16,9,2,5
"CCA-LDA",16,10,2,4
"CCA-LDA",16,11,2,4
"CCA-LDA",16,12,1,1
"CCA-LDA",16,13,1,3
"CCA-LDA",16,14,2,3
"CCA-LDA",16,15,2,3
"CCA-LDA",16,16,4,4
"CCA-LDA",16,17,3,4
"CCA-LDA",16,18,2,6
"CCA-LDA",16,19,1,2
"CCA-LDA",16,20,2,4
"CCA-LDA",16,21,2,3
"CCA-LDA",16,22,2,1
"CCA-LDA",16,23,2,6
"CCA-LDA",16,24,2,4
"CCA-LDA",16,25,2,2
"CCA-LDA",16,26,2,3
"CCA-LDA",16,27,1,3
"CCA-LDA",16,28,3,3
"CCA-LDA",16,29,2,5
"CCA-LDA",16,30,0,5
"CCA-LDA",16,31,3,4
"CCA-LDA",16,32,2,4
"CCA-LDA",16,33,3,3
"CCA-LDA",16,34,4,3
"CCA-LDA",16,35,2,4
"CCA-LDA",16,36,1,2
"CCA-LDA",16,37,2,3
"CCA-LDA",16,38,2,5
"CCA-LDA",16,39,2,2
"CCA-LDA",16,40,2,3
"CCA-LDA",16,41,0,3
"CCA-LDA",16,42,1,5
"CCA-LDA",16,43,2,5
"CCA-LDA",17,1,2,5
"CCA-LDA",17,2,2,2
"CCA-LDA",17,3,2,7
"CCA-LDA",17,4,3,4
"CCA-LDA",17,5,0,6
"CCA-LDA",17,6,1,3
"CCA-LDA",17,7,0,3
"CCA-LDA",17,8,2,3
