"sim","method","n.dims","err","CV","Pi","Alt"
46,"PCA-LDA",18,0.18974003100526,1,1,2
47,"CCA-LDA",33,0.0012014370019516,1,1,2
47,"PCA-LDA",31,0.0510438689625694,1,1,2
48,"CCA-LDA",38,0.00914406168380983,1,1,2
48,"PCA-LDA",36,0.0154847580797012,1,1,2
49,"CCA-LDA",32,0.0314192213085605,1,1,2
49,"PCA-LDA",37,0.00886751312712067,1,1,2
5,"CCA-LDA",25,0.0885448858966107,1,1,2
5,"PCA-LDA",27,0.0665444692022574,1,1,2
50,"CCA-LDA",36,2.29113368197057e-05,1,1,2
50,"PCA-LDA",32,0.0563368183871946,1,1,2
51,"CCA-LDA",34,0.00897055722056654,1,1,2
51,"PCA-LDA",39,2.05085468104912e-07,1,1,2
52,"CCA-LDA",39,0.0875811672265469,1,1,2
52,"PCA-LDA",37,3.91780525418428e-05,1,1,2
53,"CCA-LDA",39,0.00693403360335861,1,1,2
53,"PCA-LDA",34,0.0207464516057793,1,1,2
54,"CCA-LDA",39,0.0543654894230038,1,1,2
54,"PCA-LDA",39,0.000399999453620269,1,1,2
55,"CCA-LDA",29,0.0526872385716901,1,1,2
55,"PCA-LDA",36,0.00952864203060949,1,1,2
56,"CCA-LDA",39,0.0546098644488795,1,1,2
56,"PCA-LDA",37,0.00810455397045288,1,1,2
57,"CCA-LDA",27,0.0472684841227187,1,1,2
57,"PCA-LDA",32,0.0162421900058244,1,1,2
58,"CCA-LDA",35,0.00285186500157884,1,1,2
58,"PCA-LDA",37,0.0306426190367965,1,1,2
59,"CCA-LDA",36,8.71684401084977e-05,1,1,2
59,"PCA-LDA",31,0.0212631056596746,1,1,2
6,"CCA-LDA",28,0.0404826104837464,1,1,2
6,"PCA-LDA",39,7.06145630777293e-07,1,1,2
60,"CCA-LDA",32,0.014186222303394,1,1,2
60,"PCA-LDA",38,1.95936275828524e-07,1,1,2
61,"CCA-LDA",19,0.0409828634817133,1,1,2
61,"PCA-LDA",37,0.0014484329584407,1,1,2
62,"CCA-LDA",21,0.0406165714616201,1,1,2
62,"PCA-LDA",24,0.0985999171068745,1,1,2
63,"CCA-LDA",32,0.00428805206089336,1,1,2
63,"PCA-LDA",38,0.0129155145948714,1,1,2
64,"CCA-LDA",38,0.000999954396955823,1,1,2
64,"PCA-LDA",37,5.34351916626328e-05,1,1,2
65,"CCA-LDA",39,0.0298190236398763,1,1,2
65,"PCA-LDA",34,0.000377370672916232,1,1,2
66,"CCA-LDA",18,0.0648573631591345,1,1,2
66,"PCA-LDA",35,0.0221884067918641,1,1,2
67,"CCA-LDA",32,0.0208531778773723,1,1,2
67,"PCA-LDA",35,6.5788567194173e-05,1,1,2
68,"CCA-LDA",32,0.124441181849773,1,1,2
68,"PCA-LDA",37,0.0840723634845654,1,1,2
69,"CCA-LDA",35,0.0319819633611986,1,1,2
69,"PCA-LDA",37,0.000332009181825944,1,1,2
7,"CCA-LDA",38,0.0123904776419213,1,1,2
7,"PCA-LDA",39,4.04552666869654e-05,1,1,2
70,"CCA-LDA",16,0.0577447926402381,1,1,2
70,"PCA-LDA",32,0.0161918905403087,1,1,2
71,"CCA-LDA",10,0.204405841892022,1,1,2
71,"PCA-LDA",38,2.78451460013366e-05,1,1,2
72,"CCA-LDA",30,0.0308735458675986,1,1,2
72,"PCA-LDA",37,0.0127995666600986,1,1,2
73,"CCA-LDA",16,0.078719889237509,1,1,2
73,"PCA-LDA",34,0.00121687022453917,1,1,2
74,"CCA-LDA",35,0.0100480174943487,1,1,2
74,"PCA-LDA",31,0.0507978071748527,1,1,2
75,"CCA-LDA",17,0.122371348189642,1,1,2
75,"PCA-LDA",36,0.0427312315854525,1,1,2
76,"CCA-LDA",25,0.15610693489668,1,1,2
76,"PCA-LDA",29,0.111408262129957,1,1,2
77,"CCA-LDA",16,0.0448117561304888,1,1,2
77,"PCA-LDA",39,1.37094280555291e-06,1,1,2
78,"CCA-LDA",34,0.038738090612839,1,1,2
78,"PCA-LDA",31,0.0750469572052924,1,1,2
79,"CCA-LDA",33,0.050488819382114,1,1,2
79,"PCA-LDA",36,0.000342480374270758,1,1,2
8,"CCA-LDA",23,0.0506820431460385,1,1,2
8,"PCA-LDA",38,0.00139340119433075,1,1,2
80,"CCA-LDA",37,0.00160846194154497,1,1,2
80,"PCA-LDA",29,0.170831807865364,1,1,2
81,"CCA-LDA",34,0.00543725595414304,1,1,2
81,"PCA-LDA",39,3.31729947405224e-08,1,1,2
82,"CCA-LDA",35,0.00684353751400915,1,1,2
82,"PCA-LDA",34,0.012114369272572,1,1,2
83,"CCA-LDA",27,0.0749870032275939,1,1,2
83,"PCA-LDA",35,0.0487106319451947,1,1,2
84,"CCA-LDA",25,0.0402545401729724,1,1,2
84,"PCA-LDA",39,1.88516557037544e-06,1,1,2
85,"CCA-LDA",38,0.0243721600192065,1,1,2
85,"PCA-LDA",32,0.0870052004120881,1,1,2
86,"CCA-LDA",14,0.0981991128757123,1,1,2
86,"PCA-LDA",38,0.000422226017267926,1,1,2
87,"CCA-LDA",11,0.25656792604153,1,1,2
87,"PCA-LDA",30,0.140954804728964,1,1,2
88,"CCA-LDA",34,0.0822635789537818,1,1,2
88,"PCA-LDA",34,0.0714042207180258,1,1,2
89,"CCA-LDA",38,0.0548583005232368,1,1,2
89,"PCA-LDA",34,0.047674297016759,1,1,2
