"sim","method","n.dims","err","n.dims.min","n.dims.max","CV","Pi","Alt"
41,"CCA-LDA",NA,8,7,37,3,1,5
41,"PCA-LDA",NA,2,12,39,3,1,5
42,"CCA-LDA",NA,5,15,37,3,1,5
42,"PCA-LDA",NA,1,16,38,3,1,5
43,"CCA-LDA",NA,9,4,39,3,1,5
43,"PCA-LDA",NA,3,28,39,3,1,5
44,"CCA-LDA",NA,6,26,39,3,1,5
44,"PCA-LDA",NA,2,27,38,3,1,5
45,"CCA-LDA",NA,6,19,39,3,1,5
45,"PCA-LDA",NA,0,24,39,3,1,5
46,"CCA-LDA",NA,4,7,39,3,1,5
46,"PCA-LDA",NA,4,16,38,3,1,5
47,"CCA-LDA",NA,1,21,38,3,1,5
47,"PCA-LDA",NA,0,27,38,3,1,5
48,"CCA-LDA",NA,11,16,39,3,1,5
48,"PCA-LDA",NA,1,29,38,3,1,5
49,"CCA-LDA",NA,6,13,37,3,1,5
49,"PCA-LDA",NA,0,11,39,3,1,5
50,"CCA-LDA",NA,12,5,38,3,1,5
50,"PCA-LDA",NA,0,31,38,3,1,5
51,"CCA-LDA",NA,6,4,37,3,1,5
51,"PCA-LDA",NA,1,31,39,3,1,5
52,"CCA-LDA",NA,9,7,39,3,1,5
52,"PCA-LDA",NA,0,34,39,3,1,5
53,"CCA-LDA",NA,6,13,39,3,1,5
53,"PCA-LDA",NA,4,20,39,3,1,5
54,"CCA-LDA",NA,8,21,39,3,1,5
54,"PCA-LDA",NA,2,22,39,3,1,5
55,"CCA-LDA",NA,4,14,39,3,1,5
55,"PCA-LDA",NA,2,34,38,3,1,5
56,"CCA-LDA",NA,4,17,39,3,1,5
56,"PCA-LDA",NA,1,21,37,3,1,5
57,"CCA-LDA",NA,4,12,38,3,1,5
57,"PCA-LDA",NA,1,30,38,3,1,5
58,"CCA-LDA",NA,10,13,39,3,1,5
58,"PCA-LDA",NA,4,23,39,3,1,5
59,"CCA-LDA",NA,8,19,39,3,1,5
